Category,Sample,method,R1_R2_reads_combined,sample_proportion,R1_R2_read_proportion
0363148404_S200_L001_R1_001.fastp.fastq.gz,363148404_R1,Fluorescent Quantification,13286,0.289763662,0.289763662
0363192132_S66_L001_R1_001.fastp.fastq.gz,363192132_R1,Fluorescent Quantification,13274,0.289501944,0.289501944
0363238238_S92_L001_R1_001.fastp.fastq.gz,363238238_R1,Fluorescent Quantification,13094,0.2855762,0.2855762
0363146960_S82_L001_R1_001.fastp.fastq.gz,363146960_R1,Fluorescent Quantification,13032,0.284223998,0.284223998
0363237198_S320_L001_R1_001.fastp.fastq.gz,363237198_R1,Fluorescent Quantification,12980,0.283089894,0.283089894
0363146976_S313_L001_R1_001.fastp.fastq.gz,363146976_R1,Fluorescent Quantification,12880,0.280908924,0.280908924
0363236802_S132_L001_R1_001.fastp.fastq.gz,363236802_R1,Fluorescent Quantification,12668,0.276285268,0.276285268
0363236832_S365_L001_R1_001.fastp.fastq.gz,363236832_R1,Fluorescent Quantification,12658,0.27606717,0.27606717
0363146725_S79_L001_R1_001.fastp.fastq.gz,363146725_R1,Fluorescent Quantification,12610,0.275020304,0.275020304
0363238271_S339_L001_R1_001.fastp.fastq.gz,363238271_R1,Fluorescent Quantification,12608,0.274976686,0.274976686
0363236840_S102_L001_R1_001.fastp.fastq.gz,363236840_R1,Fluorescent Quantification,12546,0.273624484,0.273624484
0363146993_S293_L001_R1_001.fastp.fastq.gz,363146993_R1,Fluorescent Quantification,12478,0.272141424,0.272141424
0363236794_S214_L001_R1_001.fastp.fastq.gz,363236794_R1,Fluorescent Quantification,12414,0.270745604,0.270745604
0363238287_S81_L001_R1_001.fastp.fastq.gz,363238287_R1,Fluorescent Quantification,12362,0.2696115,0.2696115
0363146945_S83_L001_R1_001.fastp.fastq.gz,363146945_R1,Fluorescent Quantification,12278,0.267779484,0.267779484
0363237595_S106_L001_R1_001.fastp.fastq.gz,363237595_R1,Fluorescent Quantification,12194,0.26594747,0.26594747
0363238293_S62_L001_R1_001.fastp.fastq.gz,363238293_R1,Fluorescent Quantification,12180,0.265642134,0.265642134
0363237594_S372_L001_R1_001.fastp.fastq.gz,363237594_R1,Fluorescent Quantification,12116,0.264246314,0.264246314
0363238267_S23_L001_R1_001.fastp.fastq.gz,363238267_R1,Fluorescent Quantification,12076,0.263373926,0.263373926
0363146952_S31_L001_R1_001.fastp.fastq.gz,363146952_R1,Fluorescent Quantification,11952,0.260669522,0.260669522
0363148383_S202_L001_R1_001.fastp.fastq.gz,363148383_R1,Fluorescent Quantification,11930,0.26018971,0.26018971
0363238232_S72_L001_R1_001.fastp.fastq.gz,363238232_R1,Fluorescent Quantification,11824,0.257877882,0.257877882
0363148425_S240_L001_R1_001.fastp.fastq.gz,363148425_R1,Fluorescent Quantification,11814,0.257659784,0.257659784
