Category,Sample,method,total_reads,proportion
0363148377_S222_L001_R1_001.fastp.fastq.gz,363148377_R1,Fluorescent Quantification,5644,0.123093941
0363148377_S222_L001_R2_001.fastp.fastq.gz,363148377_R1,Fluorescent Quantification,5644,0.123093941
0363148378_S208_L001_R1_001.fastp.fastq.gz,363148378_R1,Fluorescent Quantification,4132,0.090117676
0363148378_S208_L001_R2_001.fastp.fastq.gz,363148378_R1,Fluorescent Quantification,4132,0.090117676
0363148379_S212_L001_R1_001.fastp.fastq.gz,363148379_R1,Fluorescent Quantification,10113,0.220561486
0363148379_S212_L001_R2_001.fastp.fastq.gz,363148379_R1,Fluorescent Quantification,10113,0.220561486
0363148380_S249_L001_R1_001.fastp.fastq.gz,363148380_R1,Fluorescent Quantification,48,0.001046866
0363148380_S249_L001_R2_001.fastp.fastq.gz,363148380_R1,Fluorescent Quantification,48,0.001046866
0363148381_S158_L001_R1_001.fastp.fastq.gz,363148381_R1,Fluorescent Quantification,467,0.010185129
0363148381_S158_L001_R2_001.fastp.fastq.gz,363148381_R1,Fluorescent Quantification,467,0.010185129
0363148382_S280_L001_R1_001.fastp.fastq.gz,363148382_R1,Fluorescent Quantification,4952,0.10800163
0363148382_S280_L001_R2_001.fastp.fastq.gz,363148382_R1,Fluorescent Quantification,4952,0.10800163
0363148383_S202_L001_R1_001.fastp.fastq.gz,363148383_R1,Fluorescent Quantification,5965,0.130094855
0363148383_S202_L001_R2_001.fastp.fastq.gz,363148383_R1,Fluorescent Quantification,5965,0.130094855
0363148384_S227_L001_R1_001.fastp.fastq.gz,363148384_R1,Fluorescent Quantification,11283,0.246078834
0363148384_S227_L001_R2_001.fastp.fastq.gz,363148384_R1,Fluorescent Quantification,11283,0.246078834
0363148385_S278_L001_R1_001.fastp.fastq.gz,363148385_R1,Fluorescent Quantification,4657,0.101567768
0363148385_S278_L001_R2_001.fastp.fastq.gz,363148385_R1,Fluorescent Quantification,4657,0.101567768
0363148386_S233_L001_R1_001.fastp.fastq.gz,363148386_R1,Fluorescent Quantification,6803,0.148371383
0363148386_S233_L001_R2_001.fastp.fastq.gz,363148386_R1,Fluorescent Quantification,6803,0.148371383
0363148387_S234_L001_R1_001.fastp.fastq.gz,363148387_R1,Fluorescent Quantification,4697,0.102440156
0363148387_S234_L001_R2_001.fastp.fastq.gz,363148387_R1,Fluorescent Quantification,4697,0.102440156
0363148388_S205_L001_R1_001.fastp.fastq.gz,363148388_R1,Fluorescent Quantification,14411,0.314299573
0363148388_S205_L001_R2_001.fastp.fastq.gz,363148388_R1,Fluorescent Quantification,14411,0.314299573
0363148390_S192_L001_R1_001.fastp.fastq.gz,363148390_R1,Fluorescent Quantification,3791,0.082680569
0363148390_S192_L001_R2_001.fastp.fastq.gz,363148390_R1,Fluorescent Quantification,3791,0.082680569
0363148391_S128_L001_R1_001.fastp.fastq.gz,363148391_R1,Fluorescent Quantification,3516,0.076682902
0363148391_S128_L001_R2_001.fastp.fastq.gz,363148391_R1,Fluorescent Quantification,3516,0.076682902
0363148392_S232_L001_R1_001.fastp.fastq.gz,363148392_R1,Fluorescent Quantification,5651,0.123246609
0363148392_S232_L001_R2_001.fastp.fastq.gz,363148392_R1,Fluorescent Quantification,5651,0.123246609
0363148393_S193_L001_R1_001.fastp.fastq.gz,363148393_R1,Fluorescent Quantification,5441,0.118666572
0363148393_S193_L001_R2_001.fastp.fastq.gz,363148393_R1,Fluorescent Quantification,5441,0.118666572
